region,date,dis,id,catg,target
101,31/12/1994,60,0,11,0
107,29/5/2002,69,1,11,0
301,13/3/1986,62,10,11,0
105,11/7/1996,69,100,11,0
303,14/10/2014,62,1000,11,0
103,29/9/1993,69,10000,11,0
309,7/6/2012,62,100000,11,0
101,25/10/2011,60,100003,11,0
311,30/6/2006,63,100004,12,0
107,20/5/2005,69,100006,11,0
101,28/5/2009,60,100007,11,0
104,22/10/2002,69,100008,11,0
311,6/11/2006,63,100009,11,0
104,25/5/1999,69,100010,11,0
311,10/2/2012,63,100011,11,0
101,25/4/2006,60,100012,11,0
101,19/5/1998,60,100014,11,0
311,30/11/1999,63,100015,11,0
104,17/11/2011,69,100017,11,0
104,7/11/1983,69,100019,11,0
101,8/12/2003,60,100020,11,0
104,13/7/2017,69,100021,51,0
306,29/12/1989,63,100023,11,0
311,17/10/2014,63,100026,11,0
306,19/8/1998,63,100027,11,0
301,30/12/1981,62,100029,11,0
101,22/12/1997,60,10003,11,0
301,17/10/1983,62,100031,11,0
308,7/11/2012,63,100032,11,1
104,9/7/2015,69,100035,11,0
301,2/1/2012,62,100036,11,0
307,16/9/2009,62,100037,11,1
306,25/12/2000,63,100038,11,0
101,5/5/1998,60,100039,11,0
313,3/3/2010,63,100040,11,0
303,22/6/2016,62,100041,11,0
101,16/4/1979,60,100042,11,0
101,13/2/2011,60,100043,11,0
301,31/10/1984,62,100044,11,0
101,23/2/2004,60,100047,11,0
101,26/10/2010,63,100048,11,0
104,8/4/2009,69,10005,11,0
303,12/3/2003,62,100051,11,0
303,19/2/2007,62,100053,11,0
104,20/12/2012,69,100055,11,0
310,31/12/1996,62,100056,11,0
301,26/4/1977,62,100057,11,0
304,14/10/2014,62,100059,11,0
104,8/4/2002,69,10006,11,0
104,7/1/2008,69,100060,11,0
312,11/5/2000,63,100061,11,0
101,22/5/2007,60,100062,11,0
101,29/8/2016,60,100063,11,0
104,13/5/2011,69,100064,11,0
101,28/11/2011,60,100066,11,0
312,20/12/1990,63,100067,11,0
301,26/12/2014,62,100068,11,0
309,29/11/2004,62,100069,11,0
310,6/12/1993,62,100070,11,0
301,16/5/1985,62,100071,11,0
301,26/11/1987,62,100072,11,0
312,7/4/2014,63,100074,11,0
101,13/9/2007,60,100075,11,0
311,11/11/1994,63,100076,11,0
301,17/10/1983,62,100077,11,0
101,16/2/2006,60,100078,11,0
101,16/5/2012,60,100079,11,0
101,5/3/1977,60,100081,11,0
301,19/12/1996,62,100082,11,0
101,6/12/2011,60,100084,11,0
312,4/2/2016,63,100085,11,0
101,30/6/1994,60,100086,11,0
304,28/10/1996,62,100088,11,0
307,10/9/2012,62,100089,11,0
101,28/12/2016,60,10009,11,0
101,22/2/2011,60,100091,11,1
302,26/6/1984,62,100092,11,0
311,12/11/2012,63,100094,11,0
